query,calls,server
1,603,E1
1,1163,E2
2,48,E1
2,70,E2
3,3,E1
3,0,E2
4,2,E1
4,2,E2
5,21,E1
5,46,E2
6,2,E1
6,1,E2
7,2,E1
7,1,E2
8,3,E1
8,0,E2
9,10,E1
9,3,E2
10,744,E1
10,1423,E2
11,3,E1
11,0,E2
12,1452,E1
12,2592,E2
13,50,E1
13,101,E2
14,2,E1
14,1,E2
15,2,E1
15,1,E2
16,3,E1
16,0,E2
17,3815,E1
17,5023,E2
18,2,E1
18,1,E2
19,3,E1
19,0,E2
20,3,E1
20,0,E2
21,1759,E1
21,3492,E2
22,3,E1
22,0,E2
23,1477,E1
23,2668,E2
24,3,E1
24,0,E2
25,242,E1
25,451,E2
26,14,E1
26,7,E2
27,3,E1
27,0,E2
28,2,E1
28,1,E2
29,21,E1
29,39,E2
30,2,E1
30,6,E2
31,9,E1
31,0,E2
32,3,E1
32,0,E2
33,2,E1
33,1,E2
34,364,E1
34,701,E2
35,375,E1
35,706,E2
36,3,E1
36,0,E2
37,629,E1
37,1266,E2
38,373,E1
38,730,E2
39,13,E1
39,8,E2
40,3,E1
40,0,E2
41,5,E1
41,1,E2
42,2,E1
42,1,E2
43,465,E1
43,299,E2
44,2,E1
44,1,E2
45,489,E1
45,998,E2
46,3,E1
46,0,E2
47,3071,E1
47,3865,E2
48,4084,E1
48,8382,E2
49,8,E1
49,7,E2
50,934,E1
50,1483,E2
51,2,E1
51,6,E2
52,2790,E1
52,5419,E2
53,3,E1
53,0,E2
54,3692,E1
54,4936,E2
55,1435,E1
55,2838,E2
56,5,E1
56,2,E2
57,2,E1
57,1,E2
58,25,E1
58,56,E2
59,693,E1
59,1412,E2
60,9,E1
60,8,E2
61,12,E1
61,1,E2
62,61,E1
62,88,E2
63,151,E1
63,220,E2
64,7,E1
64,5,E2
65,13,E1
65,3,E2
66,2,E1
66,1,E2
67,2,E1
67,1,E2
68,2,E1
68,1,E2
69,34,E1
69,53,E2
70,966,E1
70,1195,E2
71,74,E1
71,149,E2
72,187,E1
72,403,E2
73,2,E1
73,1,E2
74,2,E1
74,1,E2
75,721,E1
75,1532,E2
76,8,E1
76,4,E2
77,1412,E1
77,2649,E2
78,1341,E1
78,2717,E2
79,6,E1
79,1,E2
80,943,E1
80,609,E2
81,19,E1
81,26,E2
82,9,E1
82,7,E2
83,93,E1
83,117,E2
84,65,E1
84,99,E2
85,3,E1
85,0,E2
86,19,E1
86,0,E2
87,34,E1
87,47,E2
88,9,E1
88,0,E2
89,2,E1
89,1,E2
90,5610,E1
90,7695,E2
91,751,E1
91,1273,E2
92,947,E1
92,607,E2
93,2,E1
93,1,E2
